rank_week_filename,url_link
WR 2013-08-01 (Week 31).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-08-01 (Week 31).xlsx
WR 2013-08-07 (Week 32).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-08-07 (Week 32).xlsx
WR 2013-08-15 (Week 33).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-08-15 (Week 33).xlsx
WR 2013-08-22 (Week 34).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-08-22 (Week 34).xlsx
WR 2013-08-29 (Week 35).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-08-29 (Week 35).xlsx
WR 2013-09-05 (Week 36).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-09-05 (Week 36).xlsx
WR 2013-09-12 (Week 37).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-09-12 (Week 37).xlsx
WR 2013-09-19 (Week 38).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-09-19 (Week 38).xlsx
WR 2013-09-26 (Week 39).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-09-26 (Week 39).xlsx
WR 2013-10-03 (Week 40).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-10-03 (Week 40).xlsx
WR 2013-10-10 (Week 41).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-10-10 (Week 41).xlsx
WR 2013-10-17 (Week 42).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-10-17 (Week 42).xlsx
WR 2013-10-24 (Week 43).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-10-24 (Week 43).xlsx
WR 2013-10-31 (Week 44).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-10-31 (Week 44).xlsx
WR 2013-11-07 (Week 45).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-11-07 (Week 45).xlsx
WR 2013-11-14 (Week 46).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-11-14 (Week 46).xlsx
WR 2013-11-21 (Week 47).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-11-21 (Week 47).xlsx
WR 2013-11-28 (Week 48).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-11-28 (Week 48).xlsx
WR 2013-12-05 (Week 49).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-12-05 (Week 49).xlsx
WR 2013-12-12 (Week 50).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-12-12 (Week 50).xlsx
WR 2013-12-19 (Week 51).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-12-19 (Week 51).xlsx
WR 2013-12-26 (Week 52).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/628/WR 2013-12-26 (Week 52).xlsx
WR 2014-01-02 (Week 01).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-01-02 (Week 01).xlsx
WR 2014-01-09 (Week 02).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-01-09 (Week 02).xlsx
WR 2014-01-16 (Week 03).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-01-16 (Week 03).xlsx
WR 2014-01-23 (Week 04).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-01-23 (Week 04).xlsx
WR 2014-01-30 (Week 05).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-01-30 (Week 05).xlsx
WR 2014-02-06 (Week 06).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-02-06 (Week 06).xlsx
WR 2014-02-13 (Week 07).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-02-13 (Week 07).xlsx
WR 2014-02-20 (Week 08).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-02-20 (Week 08).xlsx
WR 2014-02-27 (Week 09).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-02-27 (Week 09).xlsx
WR 2014-03-06 (Week 10).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-03-06 (Week 10).xlsx
WR 2014-03-13 (Week 11).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-03-13 (Week 11).xlsx
WR 2014-03-20 (Week 12).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-03-20 (Week 12).xlsx
WR 2014-03-27 (Week 13).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-03-27 (Week 13).xlsx
WR 2014-04-03 (Week 14).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-04-03 (Week 14).xlsx
WR 2014-04-10 (Week 15).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-04-10 (Week 15).xlsx
WR 2014-04-17 (Week 16).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-04-17 (Week 16).xlsx
WR 2014-04-24 (Week 17).xlsx,https://extranet.bwfbadminton.com/docs/document-system/81/193/624/629/WR 2014-04-24 (Week 17).xlsx
